Hour,Load (kW)
1,5.379
2,5.36
3,5.379
4,5.377
5,5.434
6,5.481
7,5.526
8,2.367
9,6.527
10,6.527
11,14.08
12,14.08
13,19.115
14,19.115
15,19.115
16,19.115
17,19.115
18,17.881
19,12.846
20,5.313
21,5.313
22,5.325
23,5.338
24,5.367
25,5.622
26,5.704
27,5.753
28,5.737
29,5.796
30,5.831
31,8.943
32,9.678
33,16.597
34,26.161
35,26.161
36,26.161
37,26.161
38,26.161
39,26.161
40,26.161
41,26.161
42,29.963
43,22.916
44,22.916
45,20.399
46,9.353
47,5.503
48,5.697
49,5.859
50,5.938
51,6.052
52,6.093
53,6.225
54,6.24
55,8.943
56,9.678
57,16.597
58,26.161
59,26.161
60,26.161
61,26.161
62,26.161
63,26.161
64,26.161
65,26.161
66,29.963
67,22.916
68,22.916
69,20.399
70,9.428
71,5.937
72,6.2
73,6.355
74,6.507
75,6.529
76,6.649
77,6.704
78,6.779
79,8.943
80,9.678
81,16.597
82,26.161
83,26.161
84,26.161
85,26.161
86,26.161
87,26.161
88,26.161
89,26.161
90,29.963
91,22.916
92,22.916
93,20.399
94,9.358
95,5.544
96,5.709
97,5.771
98,5.829
99,5.896
100,5.921
101,5.914
102,5.931
103,8.943
104,9.678
105,16.597
106,26.161
107,26.161
108,26.161
109,26.161
110,26.161
111,26.161
112,26.161
113,26.161
114,29.963
115,22.916
116,22.916
117,20.399
118,9.343
119,5.45
120,5.461
121,5.392
122,5.53
123,5.636
124,5.617
125,5.766
126,5.849
127,8.817
128,7.794
129,11.562
130,19.115
131,26.161
132,26.161
133,26.161
134,26.161
135,26.161
136,26.161
137,26.161
138,29.963
139,20.399
140,15.364
141,15.364
142,10.328
143,5.313
144,5.327
145,5.367
146,5.482
147,5.653
148,5.742
149,5.828
150,5.873
151,5.93
152,3.425
153,6.527
154,6.527
155,14.08
156,14.08
157,19.115
158,19.115
159,19.115
160,19.115
161,19.115
162,17.881
163,12.846
164,5.363
165,5.707
166,5.881
167,6.035
168,6.102
169,6.387
170,6.447
171,6.552
172,6.556
