Time Step,Time Stamp,Electric Load (kW),PV total (kW),Grid Serving Load (kW),PV Serving Load (kW),Wind Serving Load (kW),Battery Discharging (kW),PV Charging Battery (kW),Wind Charging Battery (kW),Grid Charging Battery (kW),PV Exporting to Grid (kW),Wind Exporting to Grid (kW),Battery to Grid (kW),Battery State of Charge (%),Diesel Generator Serving Load (kW),PV total (kW)
1,2017-01-01 00:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,,0
2,2017-01-01 01:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,,0
3,2017-01-01 02:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,,0
4,2017-01-01 03:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,,0
5,2017-01-01 04:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,,0
6,2017-01-01 05:00:00,5.5,0,2.5,0,,2.9,0,,0,0,,,0.4,,0
7,2017-01-01 06:00:00,5.5,0,0,0,,5.5,0,,0,0,,,0.3,,0
8,2017-01-01 07:00:00,2.4,0,0,0,,2.4,0,,0,0,,,0.2,,0
9,2017-01-01 08:00:00,6.5,8.9,0,6.5,,0,2.4,,0,0,,,0.3,,8.9
10,2017-01-01 09:00:00,6.5,11.8,0,6.5,,0,5.3,,0,0,,,0.4,,11.8
11,2017-01-01 10:00:00,14.1,20.5,0,14.1,,0,6.4,,0,0,,,0.5,,20.5
12,2017-01-01 11:00:00,14.1,35.7,0,14.1,,0,7.8,,0,13.8,,,0.7,,35.7
13,2017-01-01 12:00:00,19.1,36.5,0,19.1,,0,7.8,,0,9.6,,,0.9,,36.5
14,2017-01-01 13:00:00,19.1,33.7,0,19.1,,0,2.6,,0,12,,,1,,33.7
15,2017-01-01 14:00:00,19.1,27,0,19.1,,0,0,,0,7.9,,,1,,27
16,2017-01-01 15:00:00,19.1,16.9,2.3,16.9,,0,0,,0,0,,,1,,16.9
17,2017-01-01 16:00:00,19.1,4.9,14.3,4.9,,0,0,,0,0,,,1,,4.9
18,2017-01-01 17:00:00,17.9,0,17.9,0,,0,0,,0,0,,,1,,0
19,2017-01-01 18:00:00,12.8,0,12.8,0,,0,0,,0,0,,,1,,0
20,2017-01-01 19:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,,0
21,2017-01-01 20:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,,0
22,2017-01-01 21:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,,0
23,2017-01-01 22:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,,0
24,2017-01-01 23:00:00,5.4,0,5.4,0,,0,0,,0,0,,,1,,0
25,2017-01-02 00:00:00,5.6,0,5.6,0,,0,0,,0,0,,,1,,0
26,2017-01-02 01:00:00,5.7,0,5.7,0,,0,0,,0,0,,,1,,0
27,2017-01-02 02:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,,0
28,2017-01-02 03:00:00,5.7,0,5.7,0,,0,0,,0,0,,,1,,0
29,2017-01-02 04:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,,0
30,2017-01-02 05:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,,0
31,2017-01-02 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,1,,0
32,2017-01-02 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,1,,0
33,2017-01-02 08:00:00,16.6,8.7,4,8.7,,3.9,0,,0,0,,,0.9,,8.7
34,2017-01-02 09:00:00,26.2,20.8,0,20.8,,5.4,0,,0,0,,,0.7,,20.8
35,2017-01-02 10:00:00,26.2,21.4,0,21.4,,4.8,0,,0,0,,,0.6,,21.4
36,2017-01-02 11:00:00,26.2,26.8,0,26.2,,0,0.6,,0,0,,,0.6,,26.8
37,2017-01-02 12:00:00,26.2,35.9,0,26.2,,0,7.8,,0,1.9,,,0.8,,35.9
38,2017-01-02 13:00:00,26.2,33,0,26.2,,0,6.8,,0,0,,,1,,33
39,2017-01-02 14:00:00,26.2,26.7,0,26.2,,0,0.5,,0,0,,,1,,26.7
40,2017-01-02 15:00:00,26.2,16.6,9.6,16.6,,0,0,,0,0,,,1,,16.6
41,2017-01-02 16:00:00,26.2,4.7,21.5,4.7,,0,0,,0,0,,,1,,4.7
42,2017-01-02 17:00:00,30,0,30,0,,0,0,,0,0,,,1,,0
43,2017-01-02 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,,0
44,2017-01-02 19:00:00,22.9,0,17.6,0,,5.3,0,,0,0,,,0.9,,0
45,2017-01-02 20:00:00,20.4,0,12.6,0,,7.8,0,,0,0,,,0.6,,0
46,2017-01-02 21:00:00,9.4,0,9.4,0,,0,0,,0,0,,,0.6,,0
47,2017-01-02 22:00:00,5.5,0,5.5,0,,0,0,,0,0,,,0.6,,0
48,2017-01-02 23:00:00,5.7,0,5.7,0,,0,0,,0,0,,,0.6,,0
49,2017-01-03 00:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.6,,0
50,2017-01-03 01:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.6,,0
51,2017-01-03 02:00:00,6.1,0,6.1,0,,0,0,,0,0,,,0.6,,0
52,2017-01-03 03:00:00,6.1,0,6.1,0,,0,0,,0,0,,,0.6,,0
53,2017-01-03 04:00:00,6.2,0,6.2,0,,0,0,,0,0,,,0.6,,0
54,2017-01-03 05:00:00,6.2,0,6.2,0,,0,0,,0,0,,,0.6,,0
55,2017-01-03 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,0.6,,0
56,2017-01-03 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,0.6,,0
57,2017-01-03 08:00:00,16.6,9.2,0,9.2,,7.4,0,,0,0,,,0.4,,9.2
