Time Step,Time Stamp,Electric Load (kW),PV power (kW),Grid Serving Load (kW),PV Serving Load (kW),Wind Serving Load (kW),Battery Discharging (kW),PV Charging Battery (kW),Wind Charging Battery (kW),Grid Charging Battery (kW),PV Exporting to Grid (kW),Wind Exporting to Grid (kW),Battery to Grid (kW),Battery State of Charge (%),Diesel Generator Serving Load (kW)
1,2017-01-01 00:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
2,2017-01-01 01:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
3,2017-01-01 02:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
4,2017-01-01 03:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
5,2017-01-01 04:00:00,5.4,0,1.1,0,,4.3,0,,0,0,,,0.5,
6,2017-01-01 05:00:00,5.5,0,0,0,,5.5,0,,0,0,,,0.4,
7,2017-01-01 06:00:00,5.5,0,0,0,,5.5,0,,0,0,,,0.3,
8,2017-01-01 07:00:00,2.4,0,0,0,,2.4,0,,0,0,,,0.3,
9,2017-01-01 08:00:00,6.5,9.7,0,6.5,,0,3.2,,0,0,,,0.4,
10,2017-01-01 09:00:00,6.5,12.8,0,6.5,,0,6.3,,0,0,,,0.4,
11,2017-01-01 10:00:00,14.1,22.4,0,14.1,,0,8.3,,0,0,,,0.5,
12,2017-01-01 11:00:00,14.1,39,0,14.1,,0,15.7,,0,9.2,,,0.6,
13,2017-01-01 12:00:00,19.1,39.8,0,19.1,,0,15.7,,0,5,,,0.8,
14,2017-01-01 13:00:00,19.1,36.7,0,19.1,,0,15.7,,0,1.9,,,0.9,
15,2017-01-01 14:00:00,19.1,29.4,0,19.1,,0,10.3,,0,0,,,1,
16,2017-01-01 15:00:00,19.1,18.4,0.7,18.4,,0,0,,0,0,,,1,
17,2017-01-01 16:00:00,19.1,5.3,13.8,5.3,,0,0,,0,0,,,1,
18,2017-01-01 17:00:00,17.9,0,17.9,0,,0,0,,0,0,,,1,
19,2017-01-01 18:00:00,12.8,0,12.8,0,,0,0,,0,0,,,1,
20,2017-01-01 19:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
21,2017-01-01 20:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
22,2017-01-01 21:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
23,2017-01-01 22:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
24,2017-01-01 23:00:00,5.4,0,5.4,0,,0,0,,0,0,,,1,
25,2017-01-02 00:00:00,5.6,0,5.6,0,,0,0,,0,0,,,1,
26,2017-01-02 01:00:00,5.7,0,5.7,0,,0,0,,0,0,,,1,
27,2017-01-02 02:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
28,2017-01-02 03:00:00,5.7,0,5.7,0,,0,0,,0,0,,,1,
29,2017-01-02 04:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
30,2017-01-02 05:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
31,2017-01-02 06:00:00,8.9,0,6.3,0,,2.7,0,,0,0,,,1,
32,2017-01-02 07:00:00,9.7,0,0,0,,9.7,0,,0,0,,,0.9,
33,2017-01-02 08:00:00,16.6,9.5,0,9.5,,7.1,0,,0,0,,,0.8,
34,2017-01-02 09:00:00,26.2,22.7,0,22.7,,3.5,0,,0,0,,,0.8,
35,2017-01-02 10:00:00,26.2,23.3,0,23.3,,2.8,0,,0,0,,,0.7,
36,2017-01-02 11:00:00,26.2,29.3,0,26.2,,0,3.1,,0,0,,,0.8,
37,2017-01-02 12:00:00,26.2,39.2,0,26.2,,0,13,,0,0,,,0.9,
38,2017-01-02 13:00:00,26.2,36,0,26.2,,0,9.8,,0,0,,,1,
